Name;Ind Sect;Net Debt LF;Tot Eqty LF;DebtToEquity;ROE LF;P/E;EBITDA to Net Sales:Q;FCF T12M;Revenue T12M;Gr PoP of Revenue:CQ T12M;MSCI ESG Rtg;Dvd Ind Yld;PE/G Pl Yld;Inv Turnover LF;Curr Ratio LF;P/S;ROIC LF;P/B;Annualized Net Interest Margin;Effic Ratio LF;R&D Exp T12M;FCF Yld;Gr PoP of FFO:CQ T12M;Ocpncy Rt;ROA LF;Ast TO LF;;;
CDW CORP/DE;Information Technology;5031000064;2349299968;2,141489011;;20,7256;9,9826;1341000000;20831199744;-4,4256;A;1,4144;3,8624;23,3714;1,4036;1,1371;;;;;;5,6597;;;;;;;
CISCO SYSTEMS INC;Information Technology;14611000320;45276999680;0,322702485;;21,5473;23,5604;11417000064;52976001024;-7,2906;AA;2,6986;3,206;5,7314;0,8819;4,505;;;;;;4,7907;;;;;;;
COGNIZANT TECH SOLUTIONS-A;Information Technology;-162000000;14451999744;-0,011209521;;17,1364;17,268;1649000000;19411999744;-0,1132;A;1,4861;2,173;;2,2279;2,0694;;;;;;4,103;;;;;;;
CORNING INC;Information Technology;6728000000;11466999808;0,58672714;;40,1537;18,962;1039000000;12611000064;-2,9923;BBB;2,3227;2,1469;3,1648;1,6554;3,2599;;;;;;2,5267;;;;;;;
CROWDSTRIKE HOLDINGS INC - A;Information Technology;-3468372992;3095610880;-1,120416333;;526,4872;-0,047;1110677984;3740420992;22,4138;BB;;;;1,8572;22,6111;;;;;;1,3146;;;;;;;
DELL TECHNOLOGIES -C;Information Technology;19797000192;-2190000128;-9,039725587;;19,2581;9,9852;2825000000;93954000896;3,0808;A;1,4311;1,7707;14,5946;0,7684;0,9362;;;;;;3,2128;;;;;;;
ENPHASE ENERGY INC;Information Technology;-434382016;931372992;-0,46638889;;121,5791;19,0972;336235992;1250239968;-53,9145;AA;;;4,041;4,1603;10,4949;;;;;;0,7472;;;;;;;
EPAM SYSTEMS INC;Information Technology;-1893266944;3554629120;-0,532620107;;28,5585;17,7819;573864000;4636845952;-2,681;A;;;;4,5619;3,0492;;;;;;4,0669;;;;;;;
F5 INC;Information Technology;-825038016;3129378048;-0,263642808;;25,5607;30,0017;762006992;2816119936;0,1049;AA;;;9,9356;1,4161;5,2135;;;;;;5,1923;;;;;;;
FAIR ISAAC CORP;Information Technology;2046583040;-962678976;-2,125924728;;124,6733;44,2902;607413008;1717525984;13,4761;AA;;;;1,6236;;;;;;;;;;;;;;
FIRST SOLAR INC;Information Technology;-575678016;7593648128;-0,075810468;;15,8487;49,2195;-591336992;3850810944;21,7671;AA;;;1,9298;2,1424;2,7149;;;;;;16,3308;;;;;;;
FORTINET INC;Information Technology;-2706899968;908099968;-2,980839184;;53,8232;33,2007;1663999968;5710800000;10,4027;BBB;;;2,8206;1,3442;12,5844;;;;;;2,3161;;;;;;;
GARTNER INC;Information Technology;1235671040;1064681984;1,160601061;;48,3974;20,8283;1268171008;6138432000;5,3711;AA;;;;1,0229;6,5983;;;;;;3,1385;;;;;;;
GEN DIGITAL INC;Information Technology;7791000064;2098000000;3,713536732;;24,7769;52,0534;2120000064;3857000000;2,2806;AA;1,6213;2,9525;;0,3197;5,0079;;;;;;10,9269;;;;;;;
HEWLETT PACKARD ENTERPRISE;Information Technology;8160999936;22133999616;0,368708777;;12,6036;15,201;2720000000;29019999744;-0,3947;AAA;2,5;1,7447;3,1406;0,9388;0,9352;;;;;;10,0546;;;;;;;
HP INC;Information Technology;6416000000;-1323000064;-4,849584044;;11,1185;8,5308;3157000000;53559000064;0,8549;AA;3,3399;1,5939;5,725;0,7237;0,6334;;;;;;9,389;;;;;;;
INTEL CORP;Information Technology;20654000128;1,04864E+11;0,196959877;;;-40,9892;-15059000064;54247000064;4,2694;AAA;;;3,0125;1,3122;1,8547;;;;;;-14,9725;;;;;;;
INTL BUSINESS MACHINES CORP;Information Technology;46423998464;24529999872;1,892539695;;23,488;19,3813;12533000064;62582001664;2,3083;AA;2,9438;3,4857;19,6681;1,0586;3,3316;;;;;;6,0155;;;;;;;
INTUIT INC;Information Technology;3423000064;18136000512;0,188740625;;57,925;15,1691;5143999872;16589999872;9,9112;AAA;0,6539;3,049;;1,2445;10,737;;;;;;2,8878;;;;;;;
JABIL INC;Information Technology;1410000000;1736999936;0,811744417;;17,8753;6,5623;932000000;28882999808;-9,1977;A;0,24;1,6162;5,5277;1,0856;0,5657;;;;;;5,875;;;;;;;
JUNIPER NETWORKS INC;Information Technology;524900000;4642699776;0,113059217;;40,8008;9,8798;393700000;5034300032;-10,8737;AA;2,4397;6,8005;2,2548;1,7214;2,3216;;;;;;3,3544;;;;;;;
KLA CORP;Information Technology;2196378880;3559714048;0,61700992;;24,8717;43,2458;3150341056;10256832000;0,8678;A;1,0757;1,8427;1,3498;2,1317;8,3044;;;;;;3,7003;;;;;;;
LAM RESEARCH CORP;Information Technology;-1083702016;8471890944;-0,127917371;;22,4421;32,5936;4839310912;15591299840;4,1086;AAA;1,2855;1,3248;1,8287;2,5254;6,001;;;;;;5,1716;;;;;;;
MICROCHIP TECHNOLOGY INC;Information Technology;6171500032;6275899904;0,983364956;;47,6636;28,7163;1510700000;5496599936;-38,5498;A;2,6816;;1,6336;0,8843;6,6497;;;;;;4,1264;;;;;;;
MICRON TECHNOLOGY INC;Information Technology;4926000128;45131001856;0,10914892;;202,7154;45,7419;121000000;25111000064;61,5894;A;0,4684;3,7527;2,2591;2,6354;4,3224;;;;;;0,1083;;;;;;;
MICROSOFT CORP;Information Technology;18410000384;2,87723E+11;0,063985155;;34,6741;59,6112;72661998592;2,5419E+11;16,4353;AA;0,7849;2,1566;33,684;1,3014;12,3678;;;;;;2,3113;;;;;;;
MONOLITHIC POWER SYSTEMS INC;Information Technology;-1446054016;2351689984;-0,614899934;;63,1612;28,187;678920000;2039446976;11,6238;BBB;0,8925;2,7644;2,218;6,4187;13,3305;;;;;;2,4969;;;;;;;
MOTOROLA SOLUTIONS INC;Information Technology;5167000064;1340999936;3,853094937;;41,2978;29,6774;2314000000;10655000064;5,9475;AA;0,8709;4,024;5,8997;1,245;7,8284;;;;;;2,7764;;;;;;;
NETAPP INC;Information Technology;28000000;892000000;0,031390135;;21,7895;25,3317;1375000000;6472999936;6,0974;AA;1,6989;2,3364;8,5239;0,9124;3,8865;;;;;;5,4542;;;;;;;
NVIDIA CORP;Information Technology;-28262000640;65898999808;-0,428868431;;53,2692;63,9616;56549999616;1,13269E+11;114,6356;AAA;0,0296;1,069;4,3983;4,1046;29,381;;;;;;1,6991;;;;;;;
NXP SEMICONDUCTORS NV;Information Technology;7033999872;9744000000;0,721880118;;18,5652;37,1692;2483000000;12925000192;-0,4329;AAA;1,7905;4,5553;2,5364;2,3483;4,4861;;;;;;4,2812;;;;;;;
ON SEMICONDUCTOR;Information Technology;898600000;8604000256;0,104439792;;16,3698;35,229;1014800000;7377900032;-6,4964;A;;;1,8481;3,0747;4,0818;;;;;;3,3704;;;;;;;
ORACLE CORP;Information Technology;73603997696;11269000192;6,531546405;;45,1545;40,7229;11270999744;53814999040;2,5799;A;0,8758;3,5207;;0,72;9,3431;;;;;;2,2388;;;;;;;
PALANTIR TECHNOLOGIES INC-A;Information Technology;-4309744128;4591362048;-0,938663534;;316,0998;16,7091;980322008;2646338048;24,5168;B;;;;5,6727;55,4559;;;;;;0,6676;;;;;;;
TE CONNECTIVITY PLC;Information Technology;3324999936;12485999616;0,266298257;;13,0663;22,5418;2797000000;15845000192;-1,1787;A;1,7201;2,0988;4,099;1,6079;0,7111;;;;;;14,3293;;;;;;;
TRIMBLE INC;Information Technology;875100032;5875100160;0,148950658;;45,8875;19,388;477900000;3632299968;-4,3804;AA;;;5,9644;1,1631;0,3784;;;;;;15,3896;;;;;;;
PALO ALTO NETWORKS INC;Information Technology;-6485300224;5911799808;-1,097009445;;138,8288;17,3181;3077100032;8288199936;10,1071;AA;;;;0,8433;15,0023;;;;;;2,4689;;;;;;;
PTC INC;Information Technology;1664518016;3214397952;0,517831968;;63,4014;35,244;735606008;2298472032;9,6049;AA;;;;0,779;10,363;;;;;;3,0899;;;;;;;
QORVO INC;Information Technology;864971008;3410169088;0,25364461;;23,1966;8,1945;773823992;3948028992;27,9295;A;;;3,1293;1,8988;1,6668;;;;;;11,6855;;;;;;;
QUALCOMM INC;Information Technology;2140000000;26274000896;0,081449339;;18,5898;29,4807;11160999936;38960999424;2,9097;A;2,1739;1,8902;2,6561;2,402;4,4798;;;;;;6,3939;;;;;;;
ROPER TECHNOLOGIES INC;Information Technology;8106999808;18515499008;0,437849383;;45,0209;39,8164;2178700032;6775600128;13,0171;A;0,5847;;16,3372;0,484;8,9166;;;;;;3,6061;;;;;;;
SALESFORCE INC;Information Technology;-448000000;57633001472;-0,007773324;;54,3669;30,9169;11460999744;36464999424;7,3953;AA;0,4848;3,0401;;1,041;8,7689;;;;;;3,5809;;;;;;;
SEAGATE TECHNOLOGY HOLDINGS;Information Technology;4437000192;-1300000000;-3,413077071;;39,4864;21,5406;634000000;7265000192;6,7911;AA;2,88;;4,2415;1,1414;2,8917;;;;;;3,0207;;;;;;;
SERVICENOW INC;Information Technology;-3049999872;9290000384;-0,328309983;;156,2384;21,2728;3377000000;10464000000;23,4836;AAA;;;;1,1341;20,4604;;;;;;1,5795;;;;;;;
SKYWORKS SOLUTIONS INC;Information Technology;-373700000;6336699904;-0,058973915;;16,4514;17,0748;1667600032;4177900032;-12,457;A;3,2258;0,9016;2,5803;5,5434;3,3264;;;;;;12,0051;;;;;;;
SUPER MICRO COMPUTER INC;Information Technology;504379008;5469660160;0,092213957;;17,6054;10,0963;-1971967936;14942853632;65,9234;B;;;4,3841;3,7666;1,3172;;;;;;-10,0094;;;;;;;
SYNOPSYS INC;Information Technology;-1320370944;7745415168;-0,170471294;;54,6647;30,112;998401976;6228819072;11,6756;AA;;;3,7458;2,0228;13,4232;;;;;;1,1916;;;;;;;
TELEDYNE TECHNOLOGIES INC;Information Technology;2236999936;9599699968;0,23302811;;27,6263;24,0804;928100000;5592699904;-1,368;A;;;3,2982;1,9983;4,1186;;;;;;4,0361;;;;;;;
TERADYNE INC;Information Technology;-598148992;2902542080;-0,20607763;;36,8671;24,7327;453353008;2737595968;-1,2239;A;0,4441;2,4506;3,7305;3,0911;6,1921;;;;;;2,6689;;;;;;;
TEXAS INSTRUMENTS INC;Information Technology;5141000192;17268000768;0,297718321;;39,1887;47,1212;1468000000;15711000064;-13,2564;AAA;2,7311;14,325;1,5846;4,306;11,5469;;;;;;0,8094;;;;;;;
TYLER TECHNOLOGIES INC;Information Technology;97548000;3275111936;0,029784631;;114,0476;22,0197;588248992;2077607040;8,0379;A;;;;1,2123;12,881;;;;;;2,1978;;;;;;;
WESTERN DIGITAL CORP;Information Technology;6044000256;11872000000;0,509097057;;23,6732;21,8071;-843000000;14348000000;26,6149;AA;;;2,8923;1,4681;1,6574;;;;;;-3,6384;;;;;;;
ZEBRA TECHNOLOGIES CORP-CL A;Information Technology;1695000064;3420999936;0,495469189;;51,9314;18,8048;768000000;4656000064;-14,1985;A;;;3,2858;1,3656;4,4843;;;;;;3,6763;;;;;;;
AMPHENOL CORP-CL A;Information Technology;3900800000;9526800384;0,409455414;;40,738;25,2724;2238899968;14232300032;14,1662;BBB;0,9073;2,0944;4,0501;1,9922;0,8053;;;;;;12,4059;;;;;;;
KEYSIGHT TECHNOLOGIES IN;Information Technology;234000000;5104999936;0,045837415;;38,3511;23,1546;898000000;4979000064;-6,7952;AAA;2,1135;2,7441;1,8396;2,9832;0,5547;;;;;;6,8405;;;;;;;
AIR PRODUCTS & CHEMICALS INC;Materials;12021399552;18673700864;0,643760958;;27,935;88,0063;-3150000000;12100600064;-3,9635;A;2,1247;2,2602;11,5231;1,5224;;;4,3494;;;;;;;;;;;
ALBEMARLE CORP;Materials;2047299968;10490660864;0,195154528;;;-69,1038;-1410975008;6501978112;-34,2039;A;1,5003;;2,8771;2,4439;;;1,5983;;;;;;;;;;;
AMCOR PLC;Materials;7351000064;3992999936;1,840971746;;20,0588;13,5103;674000000;13550000128;-6,0659;A;4,8571;1,6039;4,9629;1,2876;;;3,9377;;;;;;;;;;;
AVERY DENNISON CORP;Materials;2946200064;2393900032;1,230711402;;22,0457;15,6865;667900000;8680500096;3,8129;AA;1,7158;1,4253;6,3223;0,9211;;;6,8935;;;;;;;;;;;
BALL CORP;Materials;4723999744;6754999808;0,699333809;;25,0606;13,952;-240999936;12317999872;-6,4479;AAA;1,278;1,798;6,358;1,0943;;;2,8105;;;;;;;;;;;
CELANESE CORP;Materials;12526000128;7718000128;1,622959306;;8,8882;17,2583;844000000;10479000064;-2,239;A;3,8404;0,6843;3,286;1,372;;;1,0952;;;;;;;;;;;
CF INDUSTRIES HOLDINGS INC;Materials;1372999936;7736999936;0,177458957;;14,3417;43,1387;1822000000;5983000064;-21,9744;BBB;2,2558;;12,7625;2,8134;;;2,9757;;;;;;;;;;;
CORTEVA INC;Materials;3224000000;24978999296;0,129068421;;40,5575;-11,221;1704000064;16637000448;-4,0763;BBB;1,088;3,9998;1,5673;1,5012;;;1,7412;;;;;;;;;;;
DOW INC;Materials;15027000320;18840999936;0,797569151;;21,2137;11,1867;626000000;43179999232;-5,8439;AA;6,2724;;5,9503;1,6604;;;1,7067;;;;;;;;;;;
DUPONT DE NEMOURS INC;Materials;5958000128;24657000448;0,241635236;;26,0734;24,9687;1262000000;12192000000;-0,6681;A;1,8117;4,5006;3,4455;2,2793;;;1,4481;;;;;;;;;;;
EASTMAN CHEMICAL CO;Materials;4432000000;5728000000;0,773743017;;14,7069;18,5065;600000000;9344000256;-0,3413;BBB;3,1085;1,6669;3,9415;1,5201;;;2,1359;;;;;;;;;;;
ECOLAB INC;Materials;7044499968;8575499776;0,821468154;;38,7787;31,8845;2002100000;15674599936;4,1294;AAA;0,9205;2,0014;5,7361;1,2993;;;8,2066;;;;;;;;;;;
FMC CORP;Materials;3793299968;4630099968;0,819269561;;23,0128;17,5803;498800000;4167899968;-16,0155;;3,8992;;1,5383;1,4813;;;1,612;;;;;;;;;;;
FREEPORT-MCMORAN INC;Materials;4679000064;28866000896;0,16209381;;30,636;37,3785;2100000000;25640000000;12,9117;BBB;1,3711;1,8299;2,7673;2,3283;;;3,5831;;;;;;;;;;;
INTERNATIONAL PAPER CO;Materials;4856000000;8629000192;0,562753493;;54,9138;8,2373;807000000;18640000000;-4,1547;AA;3,1689;;7,2009;1,5261;;;2,3502;;;;;;;;;;;
INTL FLAVORS & FRAGRANCES;Materials;9224999936;14810000384;0,622889919;;42,3515;18,0513;930000000;11416000000;-1,7556;AA;1,7617;7,5585;3,1215;2,6175;;;1,5718;;;;;;;;;;;
LINDE PLC;Materials;17075000320;40603000832;0,420535428;;30,2233;35,7827;4978000000;33024999424;1,7688;A;1,2163;2,3872;8,2852;0,9581;;;5,5564;;;;;;;;;;;
LYONDELLBASELL INDU-CL A;Materials;9998999552;13841999872;0,722366684;;12,1212;11,461;1589000000;40734000128;-1,5707;AA;6,4547;;7,0647;2,1261;;;1,9661;;;;;;;;;;;
MARTIN MARIETTA MATERIALS;Materials;4382000128;9171000320;0,477810487;;37,181;33,9333;-1586300000;6512199936;-2,0059;AA;0,5306;4,1798;4,4577;2,3353;;;3,9701;;;;;;;;;;;
MOSAIC CO/THE;Materials;3976600064;11961299968;0,332455509;;16,9304;12,5689;301400000;11456399872;-23,7658;A;3,2647;;3,6036;1,1905;;;0,6926;;;;;;;;;;;
NEWMONT CORP;Materials;6040000000;29895999488;0,20203372;;16,35;38,1976;1021000000;16987000064;53,659;AA;2,3787;0,4068;4,2968;1,9627;;;1,6108;;;;;;;;;;;
NUCOR CORP;Materials;2080617984;21556541440;0,0965191;;12,411;9,9506;1754185984;31362946048;-8,5031;AA;1,3956;;5,1083;2,5919;;;1,7751;;;;;;;;;;;
PACKAGING CORP OF AMERICA;Materials;1912800000;4263600128;0,448634943;;28,1793;21,0685;591600000;8175100032;4,237;BB;2,024;2,8539;6,3005;2,9454;;;5,1914;;;;;;;;;;;
PPG INDUSTRIES INC;Materials;5946999808;7971999744;0,745985951;;16,5379;16,2842;1281000000;18030000128;-0,2821;AAA;2,2033;1,8294;4,6308;1,5839;;;3,6775;;;;;;;;;;;
SHERWIN-WILLIAMS CO/THE;Materials;11860799488;4156100096;2,853829122;;38,8582;20,912;2047800032;23053499904;0,1012;A;0,726;3,5291;5,2676;0,8277;;;23,8778;;;;;;;;;;;
SMURFIT WESTROCK PLC;Materials;12967999488;17991999488;0,720764776;;;9,9987;;;;A;2,2096;;;1,4798;;;1,5852;;;;;;;;;;;
STEEL DYNAMICS INC;Materials;2023330944;9079300096;0,222850982;;12,8674;11,8962;432495008;17901675264;-7,6671;AA;1,2793;;4,9478;2,3933;;;2,4238;;;;;;;;;;;
VULCAN MATERIALS CO;Materials;3471899904;7893100032;0,439865185;;45,4707;25,7548;803800000;7398300032;-3,6629;A;0,6425;2,6182;8,9695;2,8587;;;4,8077;;;;;;;;;;;
ALEXANDRIA REAL ESTATE EQUIT;Real Estate;12777332736;22703450112;0,562792557;;36,1766;65,5421;-1300151008;3084664960;10,2153;BBB;4,705;4,8411;;;;;;;;;;26,1837;94,6;;;;;
AMERICAN TOWER CORP;Real Estate;42631000064;10192900096;4,182421064;;46,7961;71,6291;3562199936;10035699968;0,0199;AAA;3,096;2,8328;;;;;;;;;;1,0172;;;;;;
AVALONBAY COMMUNITIES INC;Real Estate;7998306816;11884883968;0,672981481;;46,3619;59,5371;108801008;2877912064;5,3071;A;2,8594;5,6205;;;;;;;;;;8,094;95,8;;;;;
BXP INC;Real Estate;15057474560;8282306048;1,818029239;;34,7431;56,7653;;3378080960;4,4403;AA;4,7309;6,4568;;;;;;;;;;-2,4183;88,4;;;;;
CAMDEN PROPERTY TRUST;Real Estate;3420564992;4814278144;0,710504231;;80,7366;55,6113;389625000;1551784992;1,1823;BB;3,2433;15,1484;;;;;;;;;;-0,9515;94,9;;;;;
CBRE GROUP INC - A;Real Estate;5961999872;9555999744;0,623901217;;37,7451;6,0425;913646976;34312000000;9,9972;AA;;;;1,1258;;;;;;;;;;;;;;
COSTAR GROUP INC;Real Estate;-3827200000;7491100160;-0,51089959;;236,2799;9,9047;-179433000;2666899968;11,6659;BBB;;;;9,6313;;;;;;;;;;;;;;
CROWN CASTLE INC;Real Estate;29442000896;5296000000;5,559290199;;33,9303;59,0799;1631000000;6592999936;-6,76;AAA;5,8669;4,2509;;;;;;;;;;-10,2078;;;;;;
DIGITAL REALTY TRUST INC;Real Estate;16154844160;23176609792;0,697032237;;889,5286;43,8986;-1535609000;5488739072;2,7751;AA;2,499;134,4949;;;;;;;;;;5,0263;81,7;;;;;
EQUINIX INC;Real Estate;13763000320;13612000256;1,011093158;;87,2931;44,4343;-326114000;8597489024;8,165;AA;1,7404;5,908;;1,1568;;;;;;;;13,4708;;;;;;
EQUITY RESIDENTIAL;Real Estate;8643153920;11405319168;0,757817803;;54,2322;61,6304;-187324016;2940829056;3,3259;BBB;3,4848;8,2831;;;;;;;;;;2,162;95,9;;;;;
ESSEX PROPERTY TRUST INC;Real Estate;6371338240;5662337024;1,125213532;;74,3095;61,0673;151540000;1741728992;4,7449;BB;3,1326;12,3918;;;;;;;;;;6,5321;;;;;;
EXTRA SPACE STORAGE INC;Real Estate;12145389568;14958683136;0,811929062;;44,5385;60,3519;1159775008;3232779968;42,4642;BB;3,7526;10,9648;;;;;;;;;;27,772;93;;;;;
FEDERAL REALTY INVS TRUST;Real Estate;4463756800;3366545920;1,325915911;;43,3027;63,5175;34962000;1182820000;5,5713;;3,7437;5,4276;;;;;;;;;;4,9157;92;;;;;
HEALTHPEAK PROPERTIES INC;Real Estate;8711224320;9222002688;0,944613075;;68,4537;56,1227;341383000;2556112960;18,7885;AA;5,3957;6,5912;;;;;;;;;;14,9015;;;;;;
HOST HOTELS & RESORTS INC;Real Estate;5075999744;6881999872;0,737576262;;22,3062;25,1706;806000000;5579000192;6,2464;A;4,3407;;;;;;;;;;;1,0941;70,4;;;;;
INVITATION HOMES INC;Real Estate;8004466176;9951662080;0,804334604;;47,2686;51,8417;170239000;2584132992;8,2227;BBB;3,2361;6,8844;;;;;;;;;;-4,3602;97,1;;;;;
IRON MOUNTAIN INC;Real Estate;15967492096;-31871000;-501,0037996;;121,1852;40,3142;-338308008;5988458880;12,1537;AA;2,302;19,7191;;0,7454;;;;;;;;-15,2708;;;;;;
KIMCO REALTY CORP;Real Estate;7633588224;10742751232;0,710580377;;44,1313;62,885;;1963218016;10,8142;BBB;3,879;5,9613;;;;;;;;;;10,2737;96,1;;;;;
MID-AMERICA APARTMENT COMM;Real Estate;4852190208;6154112000;0,788446848;;37,623;56,2044;407976000;2183430016;2,3074;BB;3,5593;8,6525;;;;;;;;;;1,7836;95,6;;;;;
PROLOGIS INC;Real Estate;31508961280;57664090112;0,546422587;;52,5412;70,4082;522159000;7890211072;0,0558;A;3,2598;7,7925;;;;;;;;;;-6,4417;97,1;;;;;
PUBLIC STORAGE;Real Estate;8874773504;9710024704;0,913980528;;36,8889;70,4953;1939887040;4678056960;5,2108;;3,4153;6,6956;;;;;;;;;;-0,5132;94,8;;;;;
REALTY INCOME CORP;Real Estate;26262413312;38669709312;0,679146903;;40,6061;82,0009;291932960;5007127936;28,673;BB;5,4218;4,4493;;;;;;;;;;18,4043;98,6;;;;;
REGENCY CENTERS CORP;Real Estate;4525282816;6944197120;0,651663934;;39,1697;62,5463;290615000;1440971968;12,8069;AA;3,7149;5,0408;;;;;;;;;;7,4104;95,1;;;;;
SBA COMMUNICATIONS CORP;Real Estate;14318759936;-5125760000;-2,793490124;;29,4722;65,7751;1221986000;2660958016;-2,266;AA;1,7155;1,5125;;0,6742;;;;;;;;-8,2294;;;;;;
SIMON PROPERTY GROUP INC;Real Estate;23769546752;3322235904;7,154683604;;31,0711;75,542;3049857024;5909003904;6,8286;BBB;4,5714;5,5097;;;;;;;;;;6,3868;95,8;;;;;
UDR INC;Real Estate;6046158848;4613046784;1,310664975;;168,9464;58,9042;473903992;1662386976;3,0054;BB;3,6693;33,017;;;;;;;;;;2,073;96,9;;;;;
VENTAS INC;Real Estate;12779578368;10158365696;1,25803488;;;38,6421;37583000;4801600896;9,5041;BBB;2,789;;;;;;;;;;;-0,3574;;;;;;
VICI PROPERTIES INC;Real Estate;16409128960;26523072512;0,618673759;;12,0646;100,1379;1524940976;3805018048;10,2895;A;5,3067;1,5338;;;;;;;;;;17,667;;;;;;
WELLTOWER INC;Real Estate;12591040512;31064002560;0,405325762;;154,274;35,7562;-3725112008;7490062976;16,9089;AA;1,9239;8,7869;;;;;;;;;;33,682;82,2;;;;;
WEYERHAEUSER CO;Real Estate;4196999936;9927000064;0,422786331;;53,4349;12,0761;317000000;7190000000;-6,9015;AA;2,473;;10,4268;2,0101;;;;;;;;;;;;;;
AES CORP;Utilities;25762000896;8544000000;3,015215461;;5,5909;29,5227;-5704999872;12284000000;-3,7304;AA;5,3118;;13,7064;0,8506;;;;;;;-63,2846;;;;;;;
ALLIANT ENERGY CORP;Utilities;9852000256;6968000000;1,413892115;;24,6473;46,9935;-837000000;3966999936;-3,807;AA;3,0193;2,396;4,6677;0,8601;;;;;;;-5,14;;;;;;;
AMEREN CORPORATION;Utilities;18243999744;11962000384;1,525162946;;21,5149;45,5131;-1769000000;7299999872;-7,9213;A;2,8216;2,3819;2,2384;0,6327;;;;;;;-7,0142;;;;;;;
AMERICAN ELECTRIC POWER;Utilities;43693400064;26724599808;1,634950584;;18,9151;40,6671;-674600000;19602200064;1,6385;A;3,7241;1,8968;;0,5655;;;;;;;-1,2852;;;;;;;
AMERICAN WATER WORKS CO INC;Utilities;13265999872;10362000384;1,280254717;;27,3881;56,1602;-983000000;4515000000;9,2427;A;2,2124;2,7386;;0,5802;;;;;;;-3,6447;;;;;;;
ATMOS ENERGY CORP;Utilities;7869246976;12157669376;0,647266078;;22,0488;54,4803;-1086909976;4165186944;-2,5769;A;2,2981;;4,6255;0,939;;;;;;;-4,7004;;;;;;;
CENTERPOINT ENERGY INC;Utilities;19527000064;10535000064;1,853535828;;19,5887;40,8405;-1521000000;8563000064;-7,1762;A;2,572;1,8668;2,2437;1,1131;;;;;;;-7,268;;;;;;;
CMS ENERGY CORP;Utilities;15699999744;8641000448;1,816919214;;20,0309;36,7183;-336000000;7476000128;-4,0308;AA;2,9224;1,9354;2,7675;1,2337;;;;;;;-1,6023;;;;;;;
CONSOLIDATED EDISON INC;Utilities;26200000512;21898000384;1,1964563;;18,8681;34,9218;-1943000000;15036000000;-1,4033;A;3,2684;2,0836;7,027;1,0088;;;;;;;-5,5321;;;;;;;
CONSTELLATION ENERGY;Utilities;6529999872;12940999680;0,504597793;;29,7116;32,458;-6982000128;23981999616;-9,348;BBB;0,5565;1,5237;8,8956;1,7003;;;;;;;-8,6795;;;;;;;
DOMINION ENERGY INC;Utilities;40113000448;27530999808;1,457012122;;;46,7648;-6212999936;14593000192;-4,5835;AA;4,4724;;2,4191;0,7377;;;;;;;-12,4165;;;;;;;
DTE ENERGY COMPANY;Utilities;22708000768;11598000128;1,957923825;;16,9951;33,448;-939000000;12414999808;-10,2119;AA;3,236;1,2171;4,6557;0,8276;;;;;;;-3,6032;;;;;;;
DUKE ENERGY CORP;Utilities;84648001536;50248998912;1,684570904;;20,6728;47,0444;-966000000;30208999936;3,459;AA;3,5599;2,0222;2,3285;0,6967;;;;;;;-1,0677;;;;;;;
EDISON INTERNATIONAL;Utilities;36399001600;18107000832;2,010217039;;16,9631;33,1475;-813000000;17320999936;4,0425;A;3,531;1,5269;9,9672;0,875;;;;;;;-2,4131;;;;;;;
ENTERGY CORP;Utilities;27591036928;15361121280;1,796160347;;13,206;51,3596;-1081373000;11862153216;-6,5612;BBB;3,0691;1,2827;1,9587;0,8905;;;;;;;-3,242;;;;;;;
EVERGY INC;Utilities;13789100032;10056200192;1,371203811;;17,4677;51,4685;-481900000;5777800064;3,1768;A;4,1077;1,8697;1,9072;0,5517;;;;;;;-3,2237;;;;;;;
EVERSOURCE ENERGY;Utilities;28075503616;15199991808;1,847073602;;18,8145;39,909;-2508468000;11623558912;-5,0844;AA;4,4279;1,9894;7,7833;0,86;;;;;;;-11,0125;;;;;;;
EXELON CORP;Utilities;44907999232;26621999104;1,686875544;;16,1997;34,2054;-1399000000;22926999552;9,0308;AA;3,8471;1,7368;10,898;1,0865;;;;;;;-3,546;;;;;;;
FIRSTENERGY CORP;Utilities;23239999488;13692000256;1,697341444;;16,614;31,1344;-1021000000;13441999872;4,1935;A;3,9887;1,6192;8,6627;0,5606;;;;;;;-4,1716;;;;;;;
NEXTERA ENERGY INC;Utilities;80503996416;59538001920;1,352144745;;24,2689;60,4731;-8666999936;26244000256;-4,2225;AA;2,6235;2,3631;2,3615;0,4108;;;;;;;-5,3792;;;;;;;
NISOURCE INC;Utilities;13455699968;10328800256;1,302736004;;23,0055;45,3219;-1717000000;5289300096;-8,6161;AAA;2,7712;2,1458;2,3383;0,4636;;;;;;;-10,1548;;;;;;;
NRG ENERGY INC;Utilities;9777999872;2520000000;3,880158679;;17,0418;-7,49;1204000000;28118000128;-5,8686;BB;1,6483;1,5425;40,4188;1,1719;;;;;;;5,8165;;;;;;;
P G & E CORP;Utilities;58801000448;27086000128;2,170900102;;15,1584;35,1456;-3572999936;24829000192;9,1049;BBB;0,1849;1,5125;4,1765;1,0393;;;;;;;-7,7353;;;;;;;
PINNACLE WEST CAPITAL;Utilities;11266785280;6726069760;1,675091946;;17,9015;50,1779;-701858008;5021081088;6,5203;;3,7876;1,6273;3,5275;0,7083;;;;;;;-6,5339;;;;;;;
